Earnings,Driver,Races,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Win
"26,475",Ned Jarrett,20,7,14,0,2047,57,14.9,10.7,15,5117.5,6,0
"2,300",Bob Jarvis,1,0,0,0,47,0,38,35,0,117.5,0,0
"14,225",Rick Jeffrey,2,0,0,0,326,0,33,29.5,2,815,0,0
"8,730",Gordon Johncock,6,1,2,0,493,0,13.2,19.8,3,1232.5,1,0
"29,870",Bobby Johns,28,4,7,0,1754,56,13.8,22,12,4385,4,0
"3,680",Dick Johnson,5,0,0,0,259,0,26,28.8,1,647.5,0,0
"2,300",Joe Lee Johnson,7,0,1,0,543,0,22.7,28.9,3,1357.5,0,0
650,Ken Johnson,6,0,0,0,364,0,28.5,31.2,4,910,0,0
"2,055",Lionel Johnson,3,0,1,0,193,0,31,26.7,1,482.5,0,0
"21,650",Slick Johnson,3,0,0,0,423,0,34.7,22.7,2,1057.5,0,0
"3,720",Jerry Jolly,1,0,0,0,191,0,26,20,1,477.5,0,0
"225,484",Buckshot Jones,3,0,0,0,451,0,23.7,29,1,1127.5,1,0
"34,290",Davy Jones,1,0,0,0,166,0,33,33,1,415,0,0
"7,515",P.J. Jones,1,0,0,0,157,0,36,30,1,392.5,0,0
"2,425",Parnelli Jones,6,0,2,0,461,0,20.5,22.2,4,1152.5,1,0
250,Possum Jones,2,0,0,0,8,0,21,29.5,0,20,0,0
"18,705",Ralph Jones,2,0,0,0,385,0,32.5,20.5,2,962.5,0,0
870,Dick Joslin,6,0,0,0,594,0,26.3,21.7,4,1485,0,0
"5,583,283",Kasey Kahne,30,3,10,0,4950,71,18.4,19.5,24,12375,19,0
0,Blaine Kauffman,1,0,0,0,33,0,26,27,1,82.5,0,0
"1,120",Calvin Kelly,2,0,0,0,41,0,23.5,30,1,102.5,0,0
300,Joe Kelly,2,0,0,0,200,0,33,24.5,1,500,0,0
100,Pete Kelly,1,0,0,0,34,0,32,52,0,85,0,0
0,D.J. Kennington,4,0,0,0,510,0,33.2,27.8,2,1275,1,0
"273,663",Brian Keselowski,1,0,0,0,28,0,12,41,0,70,0,0
"9,425",Ron Keselowski,9,0,1,0,687,0,24.2,24.1,3,1717.5,0,0
"1,320","Bill Kimmel, Sr.",3,0,0,0,80,0,30.3,30,1,200,0,0
400,Brownie King,3,0,0,0,373,0,30,27.3,2,932.5,0,0
"40,455",Steve Kinser,1,0,0,0,27,0,42,40,0,67.5,0,0
"318,338",Parker Kligerman,3,0,0,0,519,0,34,25,1,1297.5,0,0
250,Bob Kosiski,2,0,0,0,163,0,22.5,31,1,407.5,0,0
"394,915",Alan Kulwicki,14,3,6,0,2227,8,21.2,18.6,12,5567.5,6,0
"2,712,402",Travis Kvapil,14,0,0,0,2369,5,32.1,27.5,12,5922.5,7,0
"7,841,288",Bobby Labonte,48,6,10,2,7621,71,22.2,22.1,37,19052.5,27,0
"5,749,233",Terry Labonte,63,11,26,0,10414,158,21.5,15.6,52,26035,34,0
0,Corey LaJoie,6,0,1,0,756,0,33.2,21.7,4,1890,2,0
"43,955",Randy LaJoie,1,0,0,0,195,0,24,29,1,487.5,0,0
"382,913",Andy Lally,2,0,0,0,318,0,22,30,2,795,0,0
400,Shep Langdon,2,0,0,0,231,0,21,17,2,577.5,0,0
"25,390",Elmo Langley,34,0,1,0,2944,0,23.9,23.6,17,7360,0,0
"886,899",Kyle Larson,12,0,3,0,1908,16,21.2,23,7,4770,4,0
"1,600",Mel Larson,3,0,0,0,348,0,29.7,23,3,870,0,0
590,Jack Lawrence,1,0,0,0,132,0,33,22,1,330,0,0
"520,547",Jason Leffler,4,0,0,0,662,1,22,28,2,1655,2,0
"83,725",Stephen Leicht,1,0,0,0,4,0,37,42,0,10,0,0
720,Joe Leonard,1,0,0,0,47,0,12,31,0,117.5,0,0
"1,311,974",Kevin Lepage,11,0,1,0,1654,1,25.6,29.2,9,4135,4,0
"2,470",Paul Lewis,7,0,1,0,401,0,26.9,30.1,4,1002.5,0,0
"696,286",Chad Little,16,0,2,0,2444,3,22.2,25.1,11,6110,4,0
"1,675",Ed Livingston,7,0,0,0,607,0,25.4,23.1,4,1517.5,0,0
785,Lella Lombardi,1,0,0,0,103,0,29,31,0,257.5,0,0
805,Clarence Lovell,1,0,0,0,61,0,18,30,0,152.5,0,0
"5,350",Bosco Lowe,1,0,0,0,36,0,26,39,0,90,0,0
250,Bill Lutz,2,0,0,0,88,0,43,42,0,220,0,0
"5,460",Clyde Lynn,5,0,0,0,513,0,30.2,22.4,4,1282.5,0,0
"1,350",Dave MacDonald,2,0,2,0,236,0,15.5,9.5,2,590,1,0
585,Eddie MacDonald,1,0,0,0,144,0,36,18,1,360,0,0
0,Dave Mader,1,0,0,0,6,0,21,34,0,15,0,0
100,Jim Malloy,1,0,0,0,37,0,30,21,1,92.5,0,0
600,Art Malone,1,0,1,0,95,0,13,10,1,237.5,0,0
"2,640",Larry Manning,2,0,0,0,318,0,28,18.5,2,795,0,0
"26,860",Skip Manning,8,0,0,0,787,0,23.5,27.1,3,1967.5,0,0
"1,098,219",Dave Marcis,67,3,11,0,9529,35,23.7,21.8,46,23822.5,4,0
325,Ed Markstellar,3,0,0,0,96,0,40,37,0,240,0,0
0,Justin Marks,1,0,0,0,206,1,29,12,1,515,0,0
"83,320",Coo Coo Marlin,25,3,5,0,2882,7,20.6,21.1,13,7205,1,0
375,Gene Marmor,2,0,1,0,223,0,23,18.5,2,557.5,0,0
100,Ken Marriott,1,0,0,0,1,0,56,59,0,2.5,0,0
925,Bobby Marshman,2,0,1,0,56,0,11.5,21.5,1,140,0,0
"8,151,642",Mark Martin,55,10,20,3,8596,273,15,17.9,43,21490,32,0
575,Jimmy Massey,1,0,1,0,96,0,16,10,1,240,0,0
"918,828",Rick Mast,20,1,3,0,3532,24,24.4,21.1,20,8830,10,0
"3,970",Banjo Matthews,9,1,3,1,931,100,11.1,15,4,2327.5,0,0
660,Bobby Mausgrover,2,0,0,0,44,0,29.5,33,1,110,0,0
"13,120",Dick May,8,0,0,0,774,0,33.5,24.8,5,1935,0,0
"3,568,358",Jeremy Mayfield,28,2,6,0,4679,10,26.3,21.8,24,11697.5,16,0
"16,550",Roy Mayne,21,0,1,0,1498,0,28.5,22.5,10,3745,0,0
0,Buzz McCann,2,0,0,0,9,0,13,34,0,22.5,0,0
"1,704,737",Michael McDowell,17,2,6,0,2519,20,26.3,21.1,12,6297.5,11,0
"144,015",J.D. McDuffie,35,0,1,0,4007,7,28.9,24.1,17,10017.5,0,0
850,Jim McElreath,2,0,0,0,163,0,16,19,1,407.5,0,0
"2,664",John McFadden,1,0,0,0,0,0,36,40,0,0,0,0
"10,800",Hershel McGriff,3,1,1,0,231,0,17.3,24.7,1,577.5,0,0
"1,850",Jim McGuirk,7,0,0,0,604,0,31.6,24.6,3,1510,0,0
0,B.J. McLeod,2,0,0,0,324,0,36.5,23.5,2,810,0,0
"1,375",Bill McMahan,4,0,0,0,19,0,23,26.8,0,47.5,0,0
"250,880",Jimmy Means,31,0,1,0,4184,2,32.5,23.9,23,10460,1,0
"5,530,349",Casey Mears,26,2,6,0,4234,21,23.8,20.8,23,10585,15,0
0,Ken Meisenhelder,1,0,0,0,1,0,30,31,0,2.5,0,0
"3,872,649",Paul Menard,25,2,6,1,4144,69,20.8,19.2,21,10360,18,0
950,Stan Meserve,1,0,0,0,34,0,43,41,0,85,0,0
"12,965",Joe Mihalic,6,0,0,0,541,0,24,28.2,2,1352.5,0,0
"27,370",Butch Miller,2,0,0,0,332,0,27,22.5,2,830,0,0
"2,830",Harold Miller,2,0,0,0,260,0,36,23,2,650,0,0
"54,430",Joe Millikan,5,0,2,0,461,0,25,25.4,2,1152.5,0,0
"2,165",Butch Mock,1,0,0,0,38,0,34,39,0,95,0,0
"99,835",Brett Moffitt,1,0,0,0,161,1,14,27,1,402.5,1,0
"5,600",Patty Moise,2,0,0,0,156,0,34,32.5,1,390,0,0
"3,233,178",Juan Pablo Montoya,14,0,4,0,2318,20,18.9,24.1,10,5795,7,0
"1,925",Bud Moore,2,0,1,0,162,0,12,27.5,1,405,0,0
400,Doug Moore,1,0,0,0,1,0,31,32,0,2.5,0,0
"17,495",Steve Moore,3,0,0,0,401,0,37,25.3,2,1002.5,0,0
0,Wes Morgan,1,0,0,0,7,0,28,32,0,17.5,0,0
"26,595",Rob Moroso,2,0,1,0,242,4,23.5,23.5,1,605,1,0
525,David Mote,1,0,0,0,100,0,29,27,1,250,0,0
"2,355",Larry Moyer,1,0,0,0,148,0,34,32,1,370,0,0
"841,618",Ted Musgrave,18,2,5,0,2859,0,28.3,18.1,15,7147.5,10,0
"1,014,320",Jerry Nadeau,11,0,1,0,1850,3,24,23.8,8,4625,5,0
250,Burrhead Nantz,2,0,0,0,49,0,26.5,43,1,122.5,0,0
200,Brian Naylor,2,0,0,0,86,0,32.5,37,0,215,0,0
"22,500",Ed Negre,11,0,0,0,1092,0,29.2,25.1,6,2730,0,0
"4,888,372",Joe Nemechek,38,0,3,1,5161,13,26.7,28.3,24,12902.5,16,0
"3,170",Rick Newsom,2,0,0,0,152,0,30.5,27,1,380,0,0
340,Don O'Dell,2,0,1,0,48,0,14.5,32,1,120,0,0
100,Larry Odo,1,0,0,0,3,0,38,58,0,7.5,0,0
"1,275",Jackie Oliver,1,0,0,0,106,0,15,25,0,265,0,0
"17,805",Jerry O'Neil,1,0,0,0,193,0,39,31,1,482.5,0,0
"4,080",L.D. Ottinger,2,0,0,0,122,0,38.5,33,0,305,0,0
"13,300",Cotton Owens,10,6,8,1,973,26,7.9,10.6,8,2432.5,4,0
100,Harold Painter,1,0,0,0,0,0,12,20,0,0,0,0
"15,860",Richie Panch,4,0,1,0,505,1,17,22,2,1262.5,0,0
"345,945",Max Papis,2,0,0,0,95,0,35.5,41,0,237.5,0,0
"25,425",Dan Pardus,1,0,0,0,99,0,26,36,0,247.5,0,0
"21,805",Jimmy Pardue,13,4,5,0,1447,0,19.8,14.8,10,3617.5,2,0
400,Paul Parks,4,0,0,0,408,0,46.8,30.5,4,1020,0,0
"1,067,161",Steve Park,12,0,0,1,1732,3,25.7,31.7,7,4330,3,0
"451,890",Phil Parsons,18,4,6,0,2744,39,18.1,17,14,6860,6,0
"5,950",Vic Parsons,2,0,2,0,343,0,23.5,8.5,2,857.5,0,0
"19,405",Jim Paschal,17,5,8,0,1607,20,13.7,15.2,12,4017.5,3,0
100,John Paschal,1,0,0,0,67,0,9,30,1,167.5,0,0
"1,592,145",Danica Patrick,12,0,2,1,1782,7,19.3,26.6,6,4455,4,0
"64,650",Larry Pearson,5,0,0,0,690,0,24.2,26.4,3,1725,0,0
"1,140",Joe Penland,2,0,0,0,2,0,27,31.5,0,5,0,0
"26,430",Jack Pennington,2,0,0,0,348,6,29.5,21.5,2,870,0,0
350,Bob Perry,1,0,0,0,58,0,29,24,0,145,0,0
100,Gene Petro,1,0,0,0,35,0,32,22,1,87.5,0,0
"3,467,600",Kyle Petty,52,2,8,1,8004,105,22.3,22.8,37,20010,19,0
"15,635",Ritchie Petty,2,0,0,0,187,0,36,36.5,0,467.5,0,0
"1,050",Bob Pickell,2,0,0,0,35,0,38.5,32.5,0,87.5,0,0
"13,685",Ed Pimm,2,0,0,0,301,0,37,29,1,752.5,0,0
"6,410",Tom Pistone,12,1,5,0,867,72,16.9,18.8,5,2167.5,1,0
"2,030",Dave Pletcher,1,0,0,0,65,0,36,36,0,162.5,0,0
"1,745",Dick Poling,4,0,0,0,216,0,33.2,29.8,2,540,0,0
"5,280",Larry Pollard,1,0,0,0,155,0,32,27,1,387.5,0,0
"148,520",Lennie Pond,22,2,6,0,3169,9,22.9,18,13,7922.5,0,0
295,Marvin Porter,1,0,0,0,94,0,15,16,1,235,0,0
640,Bob Potter,4,0,1,0,280,0,24.2,28,2,700,0,0
"21,710",Mike Potter,1,0,0,0,151,0,29,30,0,377.5,0,0
650,Floyd Powell,2,0,0,0,132,0,24.5,24,1,330,0,0
0,Ryan Preece,2,0,1,0,326,1,23.5,20,1,815,1,0
"906,059",Robert Pressley,13,0,0,0,2105,5,24.6,23.8,9,5262.5,5,0
"3,470",Baxter Price,2,0,0,0,288,0,35.5,22.5,2,720,0,0
0,Talmadge Prince,1,0,0,0,18,0,11,28,0,45,0,0
210,Bob Pronger,3,0,0,0,193,0,30.7,28.3,1,482.5,0,0
"133,125",Scott Pruett,2,0,0,0,304,0,25.5,29.5,1,760,1,0
225,Ervin Pruitt,1,0,0,0,44,0,23,19,1,110,0,0
"308,331",Jeff Purvis,10,0,0,0,1096,0,22.4,32.2,4,2740,2,0
"7,245",J.T. Putney,9,1,2,0,739,0,27.4,19.3,6,1847.5,0,0
"68,905",Ken Ragan,8,0,0,0,1301,0,28.4,21.9,7,3252.5,0,0
"1,022,235",Tony Raines,6,0,0,0,944,0,30,29.2,6,2360,3,0
500,Bennie Rakestraw,1,0,0,0,92,0,18,13,1,230,0,0
"1,325",Wilbur Rakestraw,7,0,0,0,603,0,25.6,27.1,5,1507.5,0,0
100,Tom Raley,1,0,0,0,30,0,21,21,1,75,0,0
0,Nick Rampling,1,0,0,0,27,0,30,27,0,67.5,0,0
"3,180",Johnny Ray,2,0,0,0,205,0,26.5,29,0,512.5,0,0
"13,530",Lee Raymond,1,0,0,0,189,0,21,26,1,472.5,0,0
0,Tyler Reddick,1,0,0,0,191,0,39,27,0,477.5,0,0
"2,850",Jim Reed,7,1,4,0,794,0,19,10.6,7,1985,1,0
"3,085,234",David Reutimann,14,1,1,0,2397,0,31.9,21.9,12,5992.5,9,0
250,Harlan Richardson,3,0,0,0,235,0,32,25,2,587.5,0,0
"666,641","Robert Richardson, Jr.",4,0,0,0,541,0,34.8,32.5,1,1352.5,0,0
"182,225",Jody Ridley,12,0,7,0,2000,0,24.8,13.2,11,5000,1,0
"2,078,757",Scott Riggs,9,1,1,0,1332,0,22.2,27.1,7,3330,5,0
"8,265",Marty Robbins,5,0,1,0,395,0,32.6,29.6,1,987.5,0,0
"2,700",Charlie Roberts,3,0,0,0,297,0,28.7,20.7,2,742.5,0,0
"196,869",Shawna Robinson,2,0,0,0,297,0,31.5,32,1,742.5,0,0
"2,375",Pedro Rodriguez,3,0,0,0,264,0,25.7,22.7,1,660,0,0
315,Robert Roeber,2,0,0,0,218,0,19.5,20.5,2,545,0,0
"12,245",Jackie Rogers,5,0,1,0,585,1,21.4,22.4,3,1462.5,0,0
675,John Rogers,3,0,0,0,144,0,26,24.7,1,360,0,0
670,Shorty Rollins,3,0,0,0,298,0,20.7,23.3,2,745,0,0
"29,300",Dean Roper,3,0,0,0,545,0,26,17.3,3,1362.5,0,0
100,Bob Rose,2,0,0,0,173,0,43,33,1,432.5,0,0
"9,850",Earl Ross,4,0,0,0,410,0,21.5,25.5,2,1025,0,0
0,John Rostek,1,0,0,0,5,0,10,39,0,12.5,0,0
"3,969,155",Ricky Rudd,60,7,21,1,9455,45,17.4,17.5,48,23637.5,28,0
500,Ken Rush,2,0,0,0,251,0,24,24.5,1,627.5,0,0
"445,275",Joe Ruttman,19,3,5,0,2732,70,21.3,20.9,10,6830,5,0
"1,550",Troy Ruttman,3,0,1,0,284,0,13.3,15.3,2,710,0,0
"20,055",Terry Ryan,3,0,1,0,509,1,15.3,12,2,1272.5,0,0
"5,979,349",Elliott Sadler,27,4,9,0,4638,63,25.8,18.1,24,11595,18,0
"407,033",Hermie Sadler,3,0,0,0,479,0,28,37,2,1197.5,0,0
100,Bob Said,1,0,0,0,42,0,20,50,0,105,0,0
"1,106,633",Boris Said,6,1,1,1,1076,12,19,22.2,5,2690,3,0
"34,135",Ronnie Sanders,3,0,0,0,570,0,23.7,22.3,3,1425,0,0
200,Marshall Sargent,2,0,0,0,136,0,43.5,35,0,340,0,0
"1,015",Sandy Satullo,1,0,0,0,18,0,29,38,0,45,0,0
"112,745",Jim Sauter,8,0,0,0,1234,5,29,22.6,6,3085,0,0
"1,078,215",Johnny Sauter,6,0,0,0,1080,0,26.3,20.7,6,2700,5,0
"2,970",Swede Savage,2,1,1,0,173,0,10.5,20.5,1,432.5,1,0
"40,572",Elton Sawyer,1,0,0,0,196,0,18,25,1,490,0,0
"49,070",Connie Saylor,10,0,0,0,872,0,27.9,30.8,3,2180,0,0
"18,250",Bob Schacht,1,0,0,0,7,0,36,42,0,17.5,0,0
"1,350",Jo Schlesser,2,0,1,0,231,0,13,11,2,577.5,0,0
"5,120",Bill Schmitt,1,0,0,0,172,0,20,23,0,430,0,0
"3,991,895",Ken Schrader,45,7,22,3,7058,298,18,17.3,34,17645,28,0
"25,750",Dorsey Schroeder,1,0,0,0,196,0,31,19,1,490,0,0
205,Fritz Schultz,1,0,0,0,45,0,27,23,1,112.5,0,0
"409,275",Brian Scott,4,0,0,0,570,1,25.8,32,2,1425,1,0
"64,655",Tighe Scott,10,0,2,0,1212,0,20.6,22.3,4,3030,0,0
"14,255",Wendell Scott,22,0,1,0,1967,0,30.7,21,13,4917.5,0,0
"1,280",Ed Sczech,1,0,0,0,87,0,19,34,0,217.5,0,0
"22,965",John Sears,21,0,2,0,2000,0,25.1,21.7,11,5000,0,0
0,Frank Secrist,1,0,0,0,4,0,32,31,0,10,0,0
"10,900",Bill Seifert,12,0,0,0,917,0,25.2,25.9,5,2292.5,0,0
"3,200",Bob Senneker,1,0,0,0,182,0,34,13,1,455,0,0
"2,380",Ned Setzer,4,0,0,0,150,0,26.5,25.2,1,375,0,0
"1,130",Herb Shannon,2,0,0,0,110,0,34,25.5,0,275,0,0
"352,689",Kirk Shelmerdine,2,0,0,0,231,0,34.5,31.5,1,577.5,1,0
"1,012,952",Morgan Shepherd,33,6,11,0,4625,21,23.3,19.8,23,11562.5,12,0
"274,766",Brent Sherman,1,0,0,0,203,0,29,21,1,507.5,1,0
200,Harry Shipe,1,0,0,0,21,0,31,24,0,52.5,0,0
"1,355",Bill Shirey,4,0,0,0,106,0,26.5,32.2,1,265,0,0
0,Ryan Sieg,1,0,0,0,7,0,38,40,0,17.5,0,0
"4,305",Dick Simon,2,0,0,0,178,0,34,33,0,445,0,0
"2,665",Dub Simpson,5,0,0,0,309,0,24.8,24.6,4,772.5,0,0
"29,425",David Sisco,11,0,3,0,1468,3,25.4,18.9,7,3670,0,0
"3,560",Dick Skillen,2,0,0,0,242,0,29.5,24,1,605,0,0
"2,099,701",Mike Skinner,16,3,5,2,2464,69,15.6,22.1,11,6160,7,0
955,Harold Smith,5,0,0,0,446,0,32,29.8,3,1115,0,0
"4,720",Larry Smith,4,0,0,0,522,0,29.5,23.5,3,1305,0,0
"2,850,358",Regan Smith,14,0,3,0,2308,15,25.6,23.1,12,5770,8,0
"23,685",Roy Smith,3,0,1,0,389,0,35,23,1,972.5,0,0
"34,370",Stanley Smith,3,0,0,0,365,0,26,28,2,912.5,0,0
"7,615",Wayne Smith,12,0,1,0,923,0,27.8,21.9,6,2307.5,0,0
"47,560",Tom Sneva,3,0,1,0,525,0,25.3,19.3,1,1312.5,0,0
"4,920",Sam Sommers,2,0,1,0,243,0,21.5,20.5,1,607.5,0,0
"2,793,558",Reed Sorenson,14,1,3,0,2302,10,27.1,23.4,13,5755,10,0
"14,145",David Sosebee,1,0,0,0,184,0,39,28,1,460,0,0
100,Gober Sosebee,1,0,0,0,44,0,36,49,0,110,0,0
"687,325",Lake Speed,29,1,5,0,3761,10,20.9,24.3,15,9402.5,6,0
"1,189,246",Scott Speed,6,0,1,0,1038,14,33.2,24.3,5,2595,4,0
"26,090",G.C. Spencer,23,1,5,0,1711,21,23.7,22.5,9,4277.5,0,0
565,Junior Spencer,1,0,0,0,84,0,18,22,0,210,0,0
"1,625",Ken Spikes,3,0,0,0,188,0,27.7,24.3,1,470,0,0
"252,151",Jack Sprague,2,0,0,0,268,0,29.5,22.5,2,670,1,0
"5,900",Don Sprouse,1,0,0,0,181,0,39,20,1,452.5,0,0
"11,805",Nelson Stacy,10,3,5,0,646,7,11.4,19.5,5,1615,3,0
"11,545",Mark Stahl,2,0,0,0,95,0,30.5,37.5,0,237.5,0,0
